cbg,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,year,fips,county,yvar,yvar_cut,city,population,geometry,pop_density,dense,sparse
060014220002,06,001,422000,2,1500000US060014220002,060014220002,2,BG,1202770,0,2019,06001,Alameda,6.605224616076518,"(5,Inf]",TRUE,104,"list(list(c(-122.308011, -122.30708, -122.300003, -122.298969, -122.296891, -122.296872, -122.295353, -122.300853, -122.299722, -122.297751, -122.303908, -122.307252, -122.308361, -122.308011, 37.882069, 37.881879, 37.882895, 37.88301, 37.883498, 37.883441, 37.878685, 37.877571, 37.874085, 37.867937, 37.866723, 37.877525, 37.882183, 37.882069)))",0.0864670718424969,FALSE,TRUE
060014220002,06,001,422000,2,1500000US060014220002,060014220002,2,BG,1202770,0,2020,06001,Alameda,6.100980545520095,"(5,Inf]",TRUE,104,"list(list(c(-122.308011, -122.30708, -122.300003, -122.298969, -122.296891, -122.296872, -122.295353, -122.300853, -122.299722, -122.297751, -122.303908, -122.307252, -122.308361, -122.308011, 37.882069, 37.881879, 37.882895, 37.88301, 37.883498, 37.883441, 37.878685, 37.877571, 37.874085, 37.867937, 37.866723, 37.877525, 37.882183, 37.882069)))",0.0864670718424969,FALSE,TRUE
060014226001,06,001,422600,1,1500000US060014226001,060014226001,1,BG,1699288,0,2020,06001,Alameda,3.0197538511393396,"(3,4]",TRUE,175,"list(list(c(-122.266329, -122.265383, -122.258357, -122.255726, -122.254723, -122.255593, -122.249269, -122.24683, -122.246439, -122.245156, -122.247097, -122.250214, -122.250971, -122.252328, -122.254588, -122.259197, -122.261482, -122.26599, -122.266227, -122.266159, -122.266329, 37.874188, 37.874297, 37.875337, 37.875668, 37.875627, 37.880194, 37.880896, 37.881199, 37.881203, 37.869737, 37.870592, 37.869346, 37.869328, 37.869616, 37.869321, 37.86872, 37.868439, 37.867834, 37.868998, 37.872389, 
37.874188)))",0.10298430872224132,FALSE,TRUE
060014226001,06,001,422600,1,1500000US060014226001,060014226001,1,BG,1699288,0,2019,06001,Alameda,9.743624569274385,"(5,Inf]",TRUE,175,"list(list(c(-122.266329, -122.265383, -122.258357, -122.255726, -122.254723, -122.255593, -122.249269, -122.24683, -122.246439, -122.245156, -122.247097, -122.250214, -122.250971, -122.252328, -122.254588, -122.259197, -122.261482, -122.26599, -122.266227, -122.266159, -122.266329, 37.874188, 37.874297, 37.875337, 37.875668, 37.875627, 37.880194, 37.880896, 37.881199, 37.881203, 37.869737, 37.870592, 37.869346, 37.869328, 37.869616, 37.869321, 37.86872, 37.868439, 37.867834, 37.868998, 37.872389, 
37.874188)))",0.10298430872224132,FALSE,TRUE
060014229002,06,001,422900,2,1500000US060014229002,060014229002,2,BG,385452,0,2019,06001,Alameda,3.238466324506765,"(3,4]",TRUE,133,"list(list(c(-122.273067, -122.268403, -122.266159, -122.266227, -122.26599, -122.270328, -122.269834, -122.272161, -122.272763, -122.273067, 37.871512, 37.87211, 37.872389, 37.868998, 37.867834, 37.867259, 37.863665, 37.863352, 37.868784, 37.871512)))",0.3450494484397538,FALSE,FALSE
060014239022,06,001,423902,2,1500000US060014239022,060014239022,2,BG,182600,0,2019,06001,Alameda,3.5346454395634725,"(3,4]",TRUE,153,"list(list(c(-122.262407, -122.256848, -122.256197, -122.257251, -122.258338, -122.260125, -122.260223, -122.260793, -122.26094, -122.261699, -122.261829, -122.262407, 37.855865, 37.856616, 37.853449, 37.853176, 37.853041, 37.852806, 37.852793, 37.852719, 37.852701, 37.852597, 37.85258, 37.855865)))",0.8378970427163198,TRUE,FALSE
060014239022,06,001,423902,2,1500000US060014239022,060014239022,2,BG,182600,0,2020,06001,Alameda,4.535714285714286,"(4,5]",TRUE,153,"list(list(c(-122.262407, -122.256848, -122.256197, -122.257251, -122.258338, -122.260125, -122.260223, -122.260793, -122.26094, -122.261699, -122.261829, -122.262407, 37.855865, 37.856616, 37.853449, 37.853176, 37.853041, 37.852806, 37.852793, 37.852719, 37.852701, 37.852597, 37.85258, 37.855865)))",0.8378970427163198,TRUE,FALSE
060014251012,06,001,425101,2,1500000US060014251012,060014251012,2,BG,234408,0,2020,06001,Alameda,4.137791895604396,"(4,5]",TRUE,130,"list(list(c(-122.30408, -122.300252, -122.298263, -122.297916, -122.298927, -122.300952657435, -122.301134, -122.30116157341, -122.301029, -122.298817, -122.29781, -122.296787, -122.295557, -122.297155, -122.302953, -122.30408, 37.839456, 37.839607, 37.840172, 37.842255, 37.845562, 37.8457420020811, 37.846297, 37.8473623994842, 37.847391, 37.847917, 37.843301, 37.838002, 37.835067, 37.837641, 37.837196, 37.839456)))",0.554588580594519,TRUE,FALSE
060014251012,06,001,425101,2,1500000US060014251012,060014251012,2,BG,234408,0,2019,06001,Alameda,8.563071895424837,"(5,Inf]",TRUE,130,"list(list(c(-122.30408, -122.300252, -122.298263, -122.297916, -122.298927, -122.300952657435, -122.301134, -122.30116157341, -122.301029, -122.298817, -122.29781, -122.296787, -122.295557, -122.297155, -122.302953, -122.30408, 37.839456, 37.839607, 37.840172, 37.842255, 37.845562, 37.8457420020811, 37.846297, 37.8473623994842, 37.847391, 37.847917, 37.843301, 37.838002, 37.835067, 37.837641, 37.837196, 37.839456)))",0.554588580594519,TRUE,FALSE
060014251023,06,001,425102,3,1500000US060014251023,060014251023,3,BG,299821,0,2020,06001,Alameda,10.183703646612802,"(5,Inf]",TRUE,51,"list(list(c(-122.296787, -122.294661, -122.291976, -122.291241, -122.291029, -122.293391, -122.293298, -122.295557, -122.296787, 37.838002, 37.838453, 37.838903, 37.83472, 37.830107, 37.830674, 37.831485, 37.835067, 37.838002)))",0.17010149389135515,FALSE,FALSE
